FIPS,County,Basin,Hubbert Stage,Cumulative Production,Magnitude,Year,Value
48001,Anderson,None,ERROR,22459703,Small,1993,1377971
48001,Anderson,None,ERROR,22459703,Small,1994,1361731
48001,Anderson,None,ERROR,22459703,Small,1995,1299698
48001,Anderson,None,ERROR,22459703,Small,1996,1186513
48001,Anderson,None,ERROR,22459703,Small,1997,1142332
48001,Anderson,None,ERROR,22459703,Small,1998,1065956
48001,Anderson,None,ERROR,22459703,Small,1999,981184
48001,Anderson,None,ERROR,22459703,Small,2000,937606
48001,Anderson,None,ERROR,22459703,Small,2001,834955
48001,Anderson,None,ERROR,22459703,Small,2002,880463
48001,Anderson,None,ERROR,22459703,Small,2003,939420
48001,Anderson,None,ERROR,22459703,Small,2004,846877
48001,Anderson,None,ERROR,22459703,Small,2005,720265
48001,Anderson,None,ERROR,22459703,Small,2006,741329
48001,Anderson,None,ERROR,22459703,Small,2007,673484
48001,Anderson,None,ERROR,22459703,Small,2008,678626
48001,Anderson,None,ERROR,22459703,Small,2009,638988
48001,Anderson,None,ERROR,22459703,Small,2010,634647
48001,Anderson,None,ERROR,22459703,Small,2011,617815
48001,Anderson,None,ERROR,22459703,Small,2012,617815
48001,Anderson,None,ERROR,22459703,Small,2013,638039
48001,Anderson,None,ERROR,22459703,Small,2014,668451
48001,Anderson,None,ERROR,22459703,Small,2015,629772
48001,Anderson,None,ERROR,22459703,Small,2016,576532
48001,Anderson,None,ERROR,22459703,Small,2017,555191
48001,Anderson,None,ERROR,22459703,Small,2018,619334
48001,Anderson,None,ERROR,22459703,Small,2019,594709
48003,Andrews,Permian,Peak,822946757,Large,1993,33584007
48003,Andrews,Permian,Peak,822946757,Large,1994,32632814
48003,Andrews,Permian,Peak,822946757,Large,1995,31581528
48003,Andrews,Permian,Peak,822946757,Large,1996,30843020
48003,Andrews,Permian,Peak,822946757,Large,1997,30527891
48003,Andrews,Permian,Peak,822946757,Large,1998,29164067
48003,Andrews,Permian,Peak,822946757,Large,1999,26889738
48003,Andrews,Permian,Peak,822946757,Large,2000,26364410
48003,Andrews,Permian,Peak,822946757,Large,2001,26203100
48003,Andrews,Permian,Peak,822946757,Large,2002,26872306
48003,Andrews,Permian,Peak,822946757,Large,2003,24272737
48003,Andrews,Permian,Peak,822946757,Large,2004,23348254
48003,Andrews,Permian,Peak,822946757,Large,2005,23970611
48003,Andrews,Permian,Peak,822946757,Large,2006,24443531
48003,Andrews,Permian,Peak,822946757,Large,2007,24170708
48003,Andrews,Permian,Peak,822946757,Large,2008,24360768
48003,Andrews,Permian,Peak,822946757,Large,2009,23615953
48003,Andrews,Permian,Peak,822946757,Large,2010,28908519
48003,Andrews,Permian,Peak,822946757,Large,2011,33372281
48003,Andrews,Permian,Peak,822946757,Large,2012,33372281
48003,Andrews,Permian,Peak,822946757,Large,2013,34579913
48003,Andrews,Permian,Peak,822946757,Large,2014,37678529
48003,Andrews,Permian,Peak,822946757,Large,2015,38018986
48003,Andrews,Permian,Peak,822946757,Large,2016,36995311
