FIPS,County,Basin,Production,Cumulative Production,Production Magnitude,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48001,Anderson,None,ERROR,"22,459,703",Large,1377971,1361731,1299698,1186513,1142332,1065956,981184,937606,834955,880463,939420,846877,720265,741329,673484,678626,638988,634647,617815,617815,638039,668451,629772,576532,555191,619334,594709
48003,Andrews,Permian,Peak,"822,946,757",Large,33584007,32632814,31581528,30843020,30527891,29164067,26889738,26364410,26203100,26872306,24272737,23348254,23970611,24443531,24170708,24360768,23615953,28908519,33372281,33372281,34579913,37678529,38018986,36995311,37473105,42411085,37291304
48005,Angelina,Haynesville,Decline,"444,442",Large,1716,1941,1482,47811,258120,53622,20036,14738,4605,10337,6668,5711,4090,4436,2826,2176,564,1921,759,759,0,0,124,0,0,0,0
48007,Aransas,None,Decline,"3,353,880",Large,389548,427770,290402,216256,208571,179142,126992,107241,112473,77044,80358,76659,75617,72660,82931,83362,67238,98878,108074,108074,85200,69695,67078,44239,43439,32275,22664
48009,Archer,None,Decline,"36,796,342",Large,2598238,2359832,2158359,2054593,1880506,1582733,1403845,1521512,1361792,1285778,1259674,1114134,1056238,1089918,1046166,1093841,1037546,1106725,1161467,1161467,1268397,1308308,1158706,1010364,925964,897058,893181
48011,Armstrong,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48013,Atascosa,Eagle Ford,Peak,"184,013,622",Large,858111,771292,737756,719889,697791,691075,660625,727687,687759,593871,686924,779337,731014,904875,617557,571358,561703,2870089,7522866,7522866,13517657,24364484,28072378,20930979,20788892,21688149,24736638
48015,Austin,None,Scatter,"10,215,628",Large,580919,464464,437971,433546,338850,277537,253452,272375,289417,329861,186318,157895,265346,220748,222423,295251,420547,647664,522574,522574,528003,555463,466309,404810,367444,397606,356261
48017,Bailey,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48019,Bandera,None,Scatter,"47,272",Small,0,0,3439,2657,1491,731,249,5849,2125,1804,2176,1495,1524,2607,1811,1737,1925,1907,1488,1488,867,1759,1645,1654,1780,1532,1532
48021,Bastrop,Eagle Ford,Scatter,"4,665,071",Large,331433,279211,249167,235657,211444,251121,155698,149438,133688,129797,117253,103919,94215,90200,181138,553596,303771,111385,93529,93529,133598,155319,140652,91261,70818,106879,97355
48023,Baylor,None,Decline,"3,881,380",Large,247127,278012,254175,239532,216861,178948,142347,162406,148715,134518,129736,125150,112704,106122,105338,106643,95820,95522,108224,108224,128746,157660,127349,112638,100491,85917,72455
48025,Bee,Eagle Ford,Decline,"10,306,576",Large,530991,492404,471071,475007,436990,469130,553291,531567,456523,419088,402138,364992,321115,315345,299603,342299,387176,384906,342523,342523,326544,335145,312936,265549,253947,240992,232781
48027,Bell,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48029,Bexar,None,Decline,"4,094,856",Large,363150,300696,254093,249171,232508,196340,161076,165504,150297,127276,120890,134799,125035,125558,119787,118509,119866,109640,119301,119301,125419,118920,106005,92931,83225,78652,76907
48031,Blanco,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48033,Borden,Permian,Growth,"115,054,732",Large,4707082,4560649,4540725,4616270,4826590,5072128,4630482,4666189,4605119,4685249,4557779,4542864,4396066,3871906,3676903,3662527,3526909,3524805,3584729,3584729,3780489,3624862,3039497,2984022,3107942,4814348,7863872
48035,Bosque,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48037,Bowie,None,Decline,"3,353,147",Large,297395,278987,242862,281993,301057,265028,234877,202062,165654,156645,121717,100305,98663,77223,55556,44086,51422,46349,47126,47126,46872,45060,39369,30485,26994,25276,22958
48039,Brazoria,None,Peak,"64,761,002",Large,2899398,2729948,2610681,2510090,2432171,2437982,2335400,2317135,1974571,1767804,1801379,1712924,1704310,1848267,1945666,1979779,1810597,1389376,2303850,2303850,3086435,3297079,3376824,2891422,2846509,3300091,3147464
48041,Brazos,Eagle Ford,Peak,"101,465,227",Large,8553696,6101724,4115777,2956398,2911210,2301319,1962776,2533336,2762221,2360291,2283683,2150881,1972504,1756735,1531264,1512326,1713665,1990177,2584930,2584930,4904891,7623110,8600216,6018433,4675546,5726079,7277109
48043,Brewster,Permian,Scatter,"1,539",Small,0,0,0,0,48,0,0,0,0,0,0,0,572,572,0,0,0,0,129,129,89,0,0,0,0,0,0
48045,Briscoe,None,Scatter,"2,809",Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,664,430,0,0,0,19,0,0,0,0,0,0
48047,Brooks,None,Scatter,"6,415,966",Large,310147,302660,248097,291762,284464,258048,222396,191961,152994,142471,163399,288039,355645,361963,304231,232510,173975,150803,192966,192966,148848,277304,277202,285320,271783,196578,137434
48049,Brown,None,Decline,"3,747,695",Large,279484,228075,230176,213091,199030,164942,127039,138068,113700,109260,110871,112145,103638,115900,111057,105355,104627,152864,136471,136471,125480,138238,119645,103974,103561,86862,77671
48051,Burleson,Eagle Ford,Growth,"133,281,749",Large,7886070,7725216,6613055,6734681,6144553,4737060,3542869,3979998,3942993,3225377,2756066,2382009,2162396,2003015,1805423,2111845,1857074,2054721,1662425,1662425,1752779,4310616,7056883,6746626,8947089,13947915,15530570
48053,Burnet,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48055,Caldwell,None,Peak,"31,628,285",Large,1461901,1267815,1145090,1059374,978392,872690,773874,942866,966650,863793,963620,916843,928625,946720,889089,938139,965837,1522598,1752359,1752359,1757263,1626502,1455596,1356680,1239905,1205701,1078004
48057,Calhoun,None,ERROR,"8,485,597",Large,680933,617683,531981,538111,569919,482450,335837,386961,344315,366956,504955,465572,372483,348741,297517,224769,160257,149136,156775,156775,166115,123589,120995,75085,56386,122184,129117
48059,Callahan,None,ERROR,"7,230,773",Large,745913,598214,511864,443642,474044,387159,309801,296017,266455,235257,206251,184925,175637,190086,215785,217743,217700,211476,206034,206034,178561,160312,126332,125153,124837,107231,108310
48061,Cameron,None,Decline,"18,116",Small,2274,1774,1965,1384,1541,1100,599,1129,910,0,758,761,831,661,537,633,700,425,67,67,0,0,0,0,0,0,0
48063,Camp,None,ERROR,"7,827,111",Large,464122,435570,434976,385356,372538,583781,645184,511574,422754,381255,320216,253747,230684,260881,253530,240985,204223,178631,177163,177163,193354,179926,146763,105147,98463,88222,80903
48065,Carson,None,Decline,"8,746,548",Large,647846,586332,558335,567757,533866,460429,386310,397786,385169,367825,354818,352618,339661,300413,283234,279064,261975,230661,216303,216303,198015,201916,162294,127201,118293,98468,113656
48067,Cass,None,ERROR,"10,912,656",Large,804037,704571,633413,687915,602024,495204,414494,487520,454832,347003,321555,324032,300569,288027,276652,247672,267343,258669,266952,266952,286900,339531,343978,350282,360328,393571,388630
48069,Castro,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48071,Chambers,None,Peak,"49,077,825",Large,2388021,2141336,1992064,1858456,1448002,1322857,1322501,984236,842294,1217951,1320517,1113842,922323,945450,917801,746990,728997,1150549,1747322,1747322,3100940,3569697,4015559,3311562,3045195,2752848,2423193
48073,Cherokee,None,Scatter,"7,378,868",Large,533538,438698,407017,388697,376781,290720,260187,241348,219154,222407,214027,200204,208653,184743,185435,175437,173506,150728,211416,211416,290455,325822,475117,341823,259175,197946,194418
48075,Childress,None,Decline,"487,636",Large,4567,5370,10440,10281,13361,11827,10321,19808,37098,24864,30418,42607,32647,29515,22817,44267,31876,19224,15649,15649,10543,10860,9071,4506,7480,7656,4914
48077,Clay,None,Decline,"20,988,573",Large,1426616,1403782,1299106,1260550,1240744,974664,951079,928277,893266,824461,780442,732028,699564,677440,614202,612155,605191,539013,550386,550386,526356,539469,535520,522126,439361,436769,425620
48079,Cochran,Permian,Decline,"111,228,785",Large,6543201,6130469,5873596,5311712,5572437,5096366,4687265,4687388,4407025,4129735,4048877,3887365,3825926,3863347,3874962,3807138,3702547,3686428,3616288,3616288,3336961,3309679,3075226,2828905,2764228,2772807,2772619
48081,Coke,Permian,Decline,"19,789,633",Large,1211392,1232557,1257834,1208587,1241136,1146922,1055446,861586,645068,524699,469284,469441,466327,475817,474535,561681,662859,703169,783941,783941,722128,709141,602977,445282,394504,361587,317792
48083,Coleman,None,Decline,"8,801,662",Large,591048,498531,462540,407984,388287,390384,369251,363945,308068,313967,329088,301958,277654,274669,243854,273838,246431,281841,298471,298471,295491,313955,304434,270906,267317,232736,196543
48085,Collin,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48087,Collingsworth,None,Decline,"122,118",Large,7574,7573,6004,5762,3598,4542,2648,3480,2705,3213,2596,2127,2325,1705,2250,2053,1718,3552,8234,8234,14541,8434,5713,2243,723,3666,4905
48089,Colorado,None,Decline,"7,116,079",Large,484302,425332,446078,482424,615175,471595,404782,370980,276177,229901,248693,227962,195645,196811,199631,192582,150078,148978,146374,146374,144772,149908,189491,159645,135105,140372,136912
48091,Comal,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48093,Comanche,None,Growth,"762,900",Large,18271,12925,11035,12701,10328,7702,7246,6406,7165,8599,14496,10710,7010,8611,7528,7580,5508,31002,31757,31757,40708,65215,83152,91776,94474,70821,58417
48095,Concho,Permian,ERROR,"16,959,714",Large,1855303,1290639,1000476,903659,985404,929216,1002338,1056472,943945,846682,617481,489971,433919,423634,436264,404374,372048,348325,320978,320978,308198,311323,254096,270322,273468,285372,274829
48097,Cooke,Barnett,Peak,"45,929,323",Large,2461895,2165420,2094257,2271448,2067781,1814800,1657802,1679763,1734009,1691625,1657660,1640073,1582686,1606690,1793953,1935602,1746938,1942221,1741643,1741643,1691871,1495084,1347543,1183512,1109454,1037353,1036597
48099,Coryell,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48101,Cottle,Permian,Growth,"1,929,699",Large,76437,83894,68811,49997,58582,45649,39442,48207,39128,44036,59281,62251,60807,47781,58771,65327,54086,88184,100051,100051,92222,76788,57786,88016,151476,116981,95657
