,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,48001,Anderson,1993,1377971,3555759,6499253,63219,3775.263014,1.3779709999999998,3.7752630136986296,3.7752630136986296,6.499253
1,1,1,1,48003,Andrews,1993,33584007,38482646,1785453,3330,92010.97808,33.584007,92.01097808219177,92.01097808219177,1.785453
2,2,2,2,48005,Angelina,1993,1716,77,851801,3080,4.701369863,0.001716,0.0047013698630136965,0.004701369863013697,0.851801
3,3,3,3,48007,Aransas,1993,389548,1138798,8162808,186904,1067.2547949999996,0.389548,1.067254794520548,1.067254794520548,8.162808
4,4,4,4,48009,Archer,1993,2598238,779871,0,0,7118.460273999999,2.5982380000000003,7.118460273972604,7.1184602739726035,0.0
5,5,5,5,48011,Armstrong,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,48013,Atascosa,1993,858111,1023599,21811166,72357,2350.989041,0.8581110000000001,2.3509890410958905,2.3509890410958905,21.811166
7,7,7,7,48015,Austin,1993,580919,267598,3370203,58897,1591.558904,0.580919,1.5915589041095892,1.5915589041095892,3.370203
8,8,8,8,48017,Bailey,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,48019,Bandera,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,10,10,10,48021,Bastrop,1993,331433,754886,1251378,11422,908.0356164,0.331433,0.9080356164383562,0.9080356164383562,1.251378
11,11,11,11,48023,Baylor,1993,247127,1353,0,0,677.060274,0.247127,0.6770602739726027,0.6770602739726027,0.0
12,12,12,12,48025,Bee,1993,530991,605660,14497101,106124,1454.769863,0.530991,1.4547698630136987,1.4547698630136987,14.497101
13,13,13,13,48027,Bell,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14,14,14,14,48029,Bexar,1993,363150,12053,67078,0,994.9315068,0.36315,0.9949315068493152,0.9949315068493152,0.067078
15,15,15,15,48031,Blanco,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,48033,Borden,1993,4707082,4047505,0,0,12896.11507,4.707082,12.896115068493149,12.896115068493149,0.0
17,17,17,17,48035,Bosque,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,18,18,18,48037,Bowie,1993,297395,298488,152953,12319,814.7808219,0.297395,0.8147808219178082,0.8147808219178082,0.152953
19,19,19,19,48039,Brazoria,1993,2899398,3608366,45689503,867353,7943.556164,2.899398,7.943556164383563,7.943556164383563,45.689503
20,20,20,20,48041,Brazos,1993,8553696,25633589,24619147,1964597,23434.78356,8.553696,23.43478356164384,23.43478356164384,24.619147
21,21,21,21,48043,Brewster,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,22,22,22,48045,Briscoe,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
23,23,23,23,48047,Brooks,1993,310147,738751,38249578,559391,849.7178082,0.310147,0.8497178082191781,0.8497178082191781,38.249578
24,24,24,24,48049,Brown,1993,279484,723121,1802706,2510,765.7095889999997,0.279484,0.7657095890410959,0.7657095890410959,1.802706
25,25,25,25,48051,Burleson,1993,7886070,39694857,19646730,843074,21605.67123,7.88607,21.60567123287672,21.605671232876716,19.64673
26,26,26,26,48053,Burnet,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,27,27,27,48055,Caldwell,1993,1461901,1102898,36318,424,4005.208219,1.461901,4.0052082191780825,4.0052082191780825,0.036318
28,28,28,28,48057,Calhoun,1993,680933,1062583,14597826,254166,1865.569863,0.680933,1.8655698630136983,1.8655698630136983,14.597826
29,29,29,29,48059,Callahan,1993,745913,982255,1849293,7561,2043.59726,0.745913,2.0435972602739727,2.0435972602739727,1.849293
30,30,30,30,48061,Cameron,1993,2274,1777,2526757,1295,6.2301369860000015,0.002274,0.00623013698630137,0.00623013698630137,2.526757
31,31,31,31,48063,Camp,1993,464122,27643,2427496,67,1271.567123,0.464122,1.2715671232876713,1.2715671232876713,2.427496
32,32,32,32,48065,Carson,1993,647846,4888230,26975248,24,1774.920548,0.647846,1.7749205479452057,1.7749205479452057,26.975248
33,33,33,33,48067,Cass,1993,804037,1327791,20634474,95935,2202.841096,0.804037,2.202841095890411,2.202841095890411,20.634474
34,34,34,34,48069,Castro,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
35,35,35,35,48071,Chambers,1993,2388021,8202531,14222190,189865,6542.523288,2.388021,6.542523287671232,6.542523287671232,14.22219
36,36,36,36,48073,Cherokee,1993,533538,691263,7453676,58255,1461.7479449999994,0.533538,1.4617479452054791,1.4617479452054791,7.453676
37,37,37,37,48075,Childress,1993,4567,1566,0,0,12.51232877,0.004567,0.012512328767123288,0.012512328767123288,0.0
38,38,38,38,48077,Clay,1993,1426616,1307171,703269,15505,3908.536986,1.426616,3.9085369863013697,3.9085369863013697,0.703269
39,39,39,39,48079,Cochran,1993,6543201,4844365,687810,4994,17926.578080000007,6.543201,17.92657808219178,17.92657808219178,0.68781
40,40,40,40,48081,Coke,1993,1211392,3874740,2463178,8443,3318.882192,1.211392,3.3188821917808218,3.3188821917808218,2.463178
41,41,41,41,48083,Coleman,1993,591048,1947407,3214829,11302,1619.309589,0.5910479999999999,1.6193095890410958,1.6193095890410958,3.214829
42,42,42,42,48085,Collin,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,43,43,43,48087,Collingsworth,1993,7574,78949,2348246,13,20.75068493,0.007573999999999998,0.02075068493150685,0.02075068493150685,2.348246
44,44,44,44,48089,Colorado,1993,484302,1406824,27544170,203628,1326.854795,0.4843020000000001,1.3268547945205478,1.3268547945205478,27.54417
45,45,45,45,48091,Comal,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,46,46,46,48093,Comanche,1993,18271,351838,1035367,1354,50.05753425,0.018271000000000003,0.050057534246575344,0.050057534246575344,1.035367
47,47,47,47,48095,Concho,1993,1855303,4012887,1959866,4114,5083.021918,1.855303,5.083021917808218,5.083021917808218,1.959866
48,48,48,48,48097,Cooke,1993,2461895,768317,359380,2074,6744.917808,2.461895,6.744917808219178,6.744917808219178,0.35938
