,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001,Anderson,1995,1299698,3466496,4596335,63326,3560.816438000001,1.299698,3.5608164383561633,3.560816438356164,4.596335
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48003,Andrews,1995,31581528,40499862,1235904,4974,86524.73425,31.581528,86.52473424657533,86.52473424657533,1.235904
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48005,Angelina,1995,1482,51,837801,4174,4.060273973,0.001482,0.004060273972602739,0.004060273972602739,0.837801
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48007,Aransas,1995,290402,977053,8121098,206905,795.6219177999999,0.290402,0.7956219178082192,0.7956219178082192,8.121098
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48009,Archer,1995,2158359,639813,14662,0,5913.312329,2.158359,5.913312328767122,5.913312328767122,0.014662
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48011,Armstrong,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48013,Atascosa,1995,737756,389106,21754655,60592,2021.249315,0.7377560000000001,2.021249315068493,2.021249315068493,21.754655
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48015,Austin,1995,437971,215744,1854679,24228,1199.920548,0.437971,1.1999205479452055,1.1999205479452055,1.854679
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,48017,Bailey,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48019,Bandera,1995,3439,0,0,0,9.421917808,0.003439,0.009421917808219176,0.009421917808219176,0.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48021,Bastrop,1995,249167,580067,708857,29999,682.6493151000002,0.249167,0.6826493150684931,0.6826493150684931,0.708857
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,48023,Baylor,1995,254175,562,0,0,696.369863,0.254175,0.6963698630136986,0.6963698630136986,0.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48025,Bee,1995,471071,1145846,15487809,109732,1290.6054789999996,0.471071,1.2906054794520547,1.2906054794520547,15.487809
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,48027,Bell,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,48029,Bexar,1995,254093,2085,21306,0,696.1452055,0.254093,0.696145205479452,0.696145205479452,0.021306
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48031,Blanco,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48033,Borden,1995,4540725,3718070,0,0,12440.34247,4.540725,12.440342465753426,12.440342465753426,0.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,48035,Bosque,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,48037,Bowie,1995,242862,116344,80532,6597,665.3753425,0.242862,0.6653753424657535,0.6653753424657535,0.080532
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,48039,Brazoria,1995,2610681,2412999,52615173,934174,7152.550684999997,2.610681,7.152550684931509,7.152550684931509,52.615173
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,48041,Brazos,1995,4115777,14236294,54039041,1313365,11276.10137,4.115777,11.276101369863017,11.276101369863017,54.039041
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,48043,Brewster,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,48045,Briscoe,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,48047,Brooks,1995,248097,706236,47160763,745213,679.7178082,0.248097,0.679717808219178,0.679717808219178,47.160763
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48049,Brown,1995,230176,598592,1744604,2053,630.6191781,0.230176,0.6306191780821918,0.6306191780821918,1.744604
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,48051,Burleson,1995,6613055,29576893,8652495,265228,18117.9589,6.613055,18.11795890410959,18.11795890410959,8.652495
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,48053,Burnet,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,48055,Caldwell,1995,1145090,908518,35868,139,3137.232877,1.14509,3.137232876712329,3.137232876712329,0.035868
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,48057,Calhoun,1995,531981,917366,11081895,154328,1457.482192,0.531981,1.4574821917808218,1.4574821917808218,11.081895
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,48059,Callahan,1995,511864,809863,1477149,4911,1402.367123,0.511864,1.4023671232876709,1.402367123287671,1.477149
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,48061,Cameron,1995,1965,1280,1180676,1058,5.3835616439999985,0.001965,0.005383561643835614,0.005383561643835615,1.180676
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,48063,Camp,1995,434976,43449,1617982,46,1191.715068,0.434976,1.1917150684931508,1.1917150684931508,1.617982
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,48065,Carson,1995,558335,3999970,31387450,11,1529.684932,0.558335,1.5296849315068493,1.5296849315068493,31.38745
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,48067,Cass,1995,633413,737136,15846587,91197,1735.378082,0.633413,1.7353780821917808,1.7353780821917808,15.846587
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,48069,Castro,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,48071,Chambers,1995,1992064,6331956,52249147,258742,5457.709589,1.992064,5.457709589041097,5.457709589041097,52.249147
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,48073,Cherokee,1995,407017,498604,12936910,72804,1115.115068,0.407017,1.1151150684931508,1.1151150684931508,12.93691
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,48075,Childress,1995,10440,375,0,0,28.60273973,0.01044,0.0286027397260274,0.0286027397260274,0.0
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,48077,Clay,1995,1299106,1301154,584402,14288,3559.194521,1.299106,3.5591945205479454,3.5591945205479454,0.584402
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,48079,Cochran,1995,5873596,4971270,574434,5472,16092.04384,5.873596,16.092043835616437,16.092043835616437,0.574434
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48081,Coke,1995,1257834,4276279,1814312,9808,3446.120548,1.257834,3.4461205479452053,3.4461205479452053,1.814312
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,48083,Coleman,1995,462540,1362675,2217620,9229,1267.232877,0.46254,1.2672328767123289,1.2672328767123289,2.21762
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,48085,Collin,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,48087,Collingsworth,1995,6004,53533,2001831,0,16.44931507,0.006004,0.01644931506849315,0.01644931506849315,2.001831
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48089,Colorado,1995,446078,1386121,26257222,280202,1222.131507,0.446078,1.2221315068493148,1.2221315068493148,26.257222
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,48091,Comal,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48093,Comanche,1995,11035,191933,929018,1615,30.23287671,0.011035,0.030232876712328768,0.030232876712328768,0.929018
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48095,Concho,1995,1000476,2581018,1687677,416,2741.030137,1.000476,2.7410301369863013,2.7410301369863013,1.687677
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48097,Cooke,1995,2094257,465903,234985,1207,5737.690411,2.094257,5.737690410958903,5.737690410958903,0.234985
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48099,Coryell,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,48101,Cottle,1995,68811,183866,2042590,17976,188.5232877,0.068811,0.1885232876712329,0.1885232876712329,2.04259
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,48103,Crane,1995,14782179,110550645,16501565,54322,40499.12055,14.782179,40.4991205479452,40.4991205479452,16.501565
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,48105,Crockett,1995,3194711,6993123,124566013,332696,8752.632877,3.194711,8.752632876712331,8.752632876712331,124.566013
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,48107,Crosby,1995,748898,112055,0,0,2051.775342000001,0.748898,2.051775342465753,2.051775342465753,0.0
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,48109,Culberson,1995,276352,284477,282423,0,757.1287671,0.276352,0.7571287671232877,0.7571287671232877,0.282423
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,48111,Dallam,1995,0,0,15968,0,0.0,0.0,0.0,0.0,0.015968
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,48113,Dallas,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,48115,Dawson,1995,6456835,5057902,0,0,17689.9589,6.456835,17.689958904109584,17.689958904109584,0.0
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,48117,Deaf Smith,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,48119,Delta,1995,0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,48121,Denton,1995,17865,63658,6611466,1251,48.94520548,0.017865,0.04894520547945205,0.04894520547945205,6.611466
