,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
0,48001,Anderson,1996,1065956,3308735,8699395,116039,2920.427397,1.065956,2.920427397,2.920427397,8.699395
1,48003,Andrews,1996,29164067,36592054,3039461,8000,79901.55342000001,29.164067,79.90155342,79.90155342,3.039461
2,48005,Angelina,1996,53622,178468,625392,1996,146.90958899999998,0.053622,0.146909589,0.146909589,0.625392
3,48007,Aransas,1996,179142,792948,7661125,272074,490.8,0.179142,0.4908,0.4908,7.661125
4,48009,Archer,1996,1582733,481088,15470,47,4336.254795000001,1.582733,4.336254795,4.336254795,0.01547
5,48011,Armstrong,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6,48013,Atascosa,1996,691075,279122,16231003,46442,1893.356164,0.691075,1.893356164,1.893356164,16.231003
7,48015,Austin,1996,277537,100823,13669620,28525,760.3753425,0.277537,0.760375342,0.760375342,13.66962
8,48017,Bailey,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,48019,Bandera,1996,731,0,0,0,2.0027397259999997,0.000731,0.00200274,0.00200274,0.0
10,48021,Bastrop,1996,251121,563753,588959,7103,688.0027397000001,0.251121,0.68800274,0.68800274,0.588959
11,48023,Baylor,1996,178948,175,0,0,490.2684932,0.178948,0.49026849299999997,0.49026849299999997,0.0
12,48025,Bee,1996,469130,396410,18989175,103374,1285.287671,0.46913,1.2852876709999999,1.2852876709999999,18.989175
13,48027,Bell,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14,48029,Bexar,1996,196340,1077,240,0,537.9178082000001,0.19634000000000001,0.537917808,0.537917808,0.00024
15,48031,Blanco,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,48033,Borden,1996,5072128,4062503,0,0,13896.2411,5.072128,13.8962411,13.8962411,0.0
17,48035,Bosque,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,48037,Bowie,1996,265028,71647,52482,5444,726.1041096,0.26502800000000004,0.72610411,0.72610411,0.052482
19,48039,Brazoria,1996,2437982,1588151,37335056,559684,6679.4027399999995,2.437982,6.67940274,6.67940274,37.335056
20,48041,Brazos,1996,2301319,7893771,16010024,349197,6304.983561999999,2.301319,6.304983562,6.304983562,16.010024
21,48043,Brewster,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,48045,Briscoe,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
23,48047,Brooks,1996,258048,516953,42903570,651321,706.9808218999999,0.258048,0.706980822,0.706980822,42.90357
24,48049,Brown,1996,164942,436142,1628351,2041,451.8958904,0.164942,0.45189589,0.45189589,1.628351
25,48051,Burleson,1996,4737060,21163400,4931399,93916,12978.246579999999,4.73706,12.97824658,12.97824658,4.931399
26,48053,Burnet,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,48055,Caldwell,1996,872690,694494,26264,225,2390.9315070000002,0.87269,2.390931507,2.390931507,0.026264
28,48057,Calhoun,1996,482450,632300,11437434,113874,1321.7808220000002,0.48245,1.321780822,1.321780822,11.437434
29,48059,Callahan,1996,387159,653486,1015610,3775,1060.709589,0.38715900000000003,1.060709589,1.060709589,1.01561
30,48061,Cameron,1996,1100,1036,1329551,1579,3.01369863,0.0011,0.0030136990000000003,0.0030136990000000003,1.329551
31,48063,Camp,1996,583781,34929,846278,16,1599.4,0.583781,1.5994,1.5994,0.846278
32,48065,Carson,1996,460429,3414989,31083629,12,1261.449315,0.460429,1.261449315,1.261449315,31.083629
33,48067,Cass,1996,495204,546282,14245022,53469,1356.7232880000001,0.495204,1.3567232880000002,1.3567232880000002,14.245022
34,48069,Castro,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
35,48071,Chambers,1996,1322857,4948261,56474253,649638,3624.265753,1.322857,3.624265753,3.624265753,56.474253
36,48073,Cherokee,1996,290720,485668,15637077,54589,796.4931507,0.29072,0.796493151,0.796493151,15.637077
37,48075,Childress,1996,11827,240,0,0,32.40273973,0.011826999999999999,0.03240274,0.03240274,0.0
38,48077,Clay,1996,974664,699474,739738,12646,2670.312329,0.974664,2.670312329,2.670312329,0.739738
39,48079,Cochran,1996,5096366,4013368,486844,1936,13962.64658,5.096366000000001,13.96264658,13.96264658,0.486844
40,48081,Coke,1996,1146922,3985098,1329298,4042,3142.252055,1.146922,3.142252055,3.142252055,1.329298
41,48083,Coleman,1996,390384,1085111,1504349,5869,1069.5452050000001,0.390384,1.069545205,1.069545205,1.504349
42,48085,Collin,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,48087,Collingsworth,1996,4542,50683,1846078,0,12.44383562,0.004542,0.012443836000000002,0.012443836000000002,1.846078
44,48089,Colorado,1996,471595,1736435,31737302,317329,1292.0410960000002,0.471595,1.292041096,1.292041096,31.737302
45,48091,Comal,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,48093,Comanche,1996,7702,136068,770740,934,21.10136986,0.007702,0.02110137,0.02110137,0.77074
47,48095,Concho,1996,929216,2666950,1372298,10226,2545.7972600000003,0.9292159999999999,2.54579726,2.54579726,1.372298
48,48097,Cooke,1996,1814800,560350,76665,137,4972.054795,1.8148,4.972054795,4.972054795,0.076665
49,48099,Coryell,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
50,48101,Cottle,1996,45649,78626,4554283,41730,125.0657534,0.045649,0.125065753,0.125065753,4.554283
51,48103,Crane,1996,13950665,79827225,17952058,56137,38221.0,13.950664999999999,38.221,38.221,17.952058
52,48105,Crockett,1996,2912691,6043746,142293562,269482,7979.975342,2.912691,7.979975342,7.979975342,142.293562
53,48107,Crosby,1996,840842,85916,0,0,2303.676712,0.840842,2.3036767119999997,2.3036767119999997,0.0
54,48109,Culberson,1996,154789,160731,214073,0,424.0794521000001,0.154789,0.424079452,0.424079452,0.214073
55,48111,Dallam,1996,0,0,7877,0,0.0,0.0,0.0,0.0,0.007877
56,48113,Dallas,1996,0,0,46661,0,0.0,0.0,0.0,0.0,0.046661
57,48115,Dawson,1996,6622064,5984678,0,0,18142.6411,6.622064,18.142641100000002,18.142641100000002,0.0
58,48117,Deaf Smith,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,48119,Delta,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,48121,Denton,1996,11075,76,9866785,2531,30.34246575,0.011075,0.030342466000000002,0.030342466000000002,9.866785
61,48123,DeWitt,1996,135557,202401,16742488,153656,371.38904110000004,0.13555699999999998,0.37138904100000003,0.37138904100000003,16.742488
62,48125,Dickens,1996,869382,14419,0,0,2381.868493,0.869382,2.3818684930000003,2.3818684930000003,0.0
63,48127,Dimmit,1996,907442,1716922,1189532,5264,2486.1424660000002,0.907442,2.486142466,2.486142466,1.189532
64,48129,Donley,1996,0,0,33462,0,0.0,0.0,0.0,0.0,0.033462
65,48131,Duval,1996,1489677,828633,62472878,315749,4081.306849,1.4896770000000001,4.081306849,4.081306849,62.472878
66,48133,Eastland,1996,378207,1432154,5111101,47833,1036.183562,0.378207,1.036183562,1.036183562,5.111101
67,48135,Ector,1996,25291226,30107503,31493311,11746,69291.03014,25.291226,69.29103014,69.29103014,31.493311
68,48137,Edwards,1996,7565,24,28380978,6323,20.726027399999996,0.0075650000000000005,0.020726027,0.020726027,28.380978
69,48139,Ellis,1996,2717,24,0,0,7.443835616,0.0027170000000000002,0.007443836,0.007443836,0.0
70,48141,El Paso ,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
71,48143,Erath,1996,3477,18686,3300671,1352,9.526027397,0.0034770000000000005,0.009526027,0.009526027,3.300671
72,48145,Falls,1996,5193,143,14003,0,14.22739726,0.005193,0.014227397,0.014227397,0.014003
73,48147,Fannin,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
74,48149,Fayette,1996,3239892,24648497,37839421,1375969,8876.416438,3.2398919999999998,8.876416438,8.876416438,37.839421
75,48151,Fisher,1996,1147226,1496927,108605,852,3143.084932,1.147226,3.143084932,3.143084932,0.108605
76,48153,Floyd,1996,1966,0,0,0,5.38630137,0.001966,0.005386301,0.005386301,0.0
77,48155,Foard,1996,292370,15120,333604,0,801.0136986,0.29236999999999996,0.8010136990000001,0.8010136990000001,0.333604
78,48157,Fort Bend,1996,2425418,1319021,27925256,443900,6644.9808219999995,2.425418,6.644980822000001,6.644980822000001,27.925256
79,48159,Franklin,1996,450540,143554,7886617,166382,1234.356164,0.45053999999999994,1.234356164,1.234356164,7.886617
80,48161,Freestone,1996,107188,79693,70028279,142966,293.66575339999997,0.107188,0.29366575300000003,0.29366575300000003,70.028279
81,48163,Frio,1996,1084630,839159,748872,184,2971.589041,1.08463,2.971589041,2.971589041,0.748872
82,48165,Gaines,1996,36173519,51431872,2471890,4810,99105.53151,36.173519,99.10553151,99.10553151,2.47189
83,48167,Galveston,1996,943246,1714955,20547964,1241922,2584.235616,0.9432459999999999,2.584235616,2.584235616,20.547964
84,48169,Garza,1996,6014921,1260446,0,0,16479.23562,6.014921,16.47923562,16.47923562,0.0
85,48171,Gillespie,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,48173,Glasscock,1996,6256862,17108412,1574822,21710,17142.087669999997,6.256862,17.14208767,17.14208767,1.574822
87,48175,Goliad,1996,429982,996145,36836321,268588,1178.0328769999999,0.429982,1.178032877,1.178032877,36.836321
88,48177,Gonzales,1996,708857,349423,1359758,11813,1942.073973,0.708857,1.942073973,1.942073973,1.359758
89,48179,Gray,1996,2225600,5216411,14293584,4763,6097.534247,2.2256,6.0975342470000005,6.0975342470000005,14.293584
90,48181,Grayson,1996,1945001,5118258,2910701,16943,5328.769863,1.9450009999999998,5.328769863,5.328769863,2.910701
91,48183,Gregg,1996,12616468,5896578,52510537,304720,34565.66575,12.616468,34.56566575,34.56566575,52.510537
92,48185,Grimes,1996,150655,814006,64081053,530963,412.7534247,0.15065499999999998,0.412753425,0.412753425,64.081053
93,48187,Guadalupe,1996,1326284,262916,0,0,3633.6547950000004,1.326284,3.633654795,3.633654795,0.0
94,48189,Hale,1996,1722489,32587,0,0,4719.147945000001,1.722489,4.719147945,4.719147945,0.0
95,48191,Hall,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
96,48193,Hamilton,1996,796,0,48127,0,2.180821918,0.000796,0.0021808220000000002,0.0021808220000000002,0.048127
97,48195,Hansford,1996,266692,954618,28312922,27374,730.6630137,0.266692,0.7306630140000001,0.7306630140000001,28.312922
98,48197,Hardeman,1996,2582454,975746,0,0,7075.2164379999995,2.5824540000000002,7.075216437999999,7.075216437999999,0.0
99,48199,Hardin,1996,1301327,1329918,4629238,144179,3565.279452,1.3013270000000001,3.565279452,3.565279452,4.629238
100,48201,Harris,1996,3111633,34726716,51293535,620437,8525.021918,3.1116330000000003,8.525021918,8.525021918,51.293535
101,48203,Harrison,1996,613173,2093210,56226976,370833,1679.926027,0.613173,1.6799260269999998,1.6799260269999998,56.226976
102,48205,Hartley,1996,373451,23,3768168,0,1023.153425,0.37345100000000003,1.023153425,1.023153425,3.768168
103,48207,Haskell,1996,751528,383168,19277,426,2058.980822,0.751528,2.058980822,2.058980822,0.019277
104,48209,Hays,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
105,48211,Hemphill,1996,138341,2683783,81540209,278447,379.01643839999997,0.13834100000000002,0.37901643799999996,0.37901643799999996,81.540209
106,48213,Henderson,1996,1450673,12120695,20392160,63726,3974.446575,1.4506729999999999,3.974446575,3.974446575,20.39216
107,48215,Hidalgo,1996,90623,224695,289609899,4330871,248.2821918,0.090623,0.24828219199999998,0.24828219199999998,289.609899
108,48217,Hill,1996,928,12,0,0,2.542465753,0.0009279999999999999,0.002542466,0.002542466,0.0
109,48219,Hockley,1996,25847881,42430656,177000,2591,70816.11232999999,25.847881,70.81611233,70.81611233,0.177
110,48221,Hood,1996,0,0,1750834,2756,0.0,0.0,0.0,0.0,1.750834
111,48223,Hopkins,1996,385666,248728,1624907,10763,1056.619178,0.385666,1.056619178,1.056619178,1.624907
112,48225,Houston,1996,949275,668412,3942608,56479,2600.753425,0.949275,2.600753425,2.600753425,3.942608
113,48227,Howard,1996,8127397,6801226,1106069,3991,22266.8411,8.127397,22.2668411,22.2668411,1.106069
114,48229,Hudspeth,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
115,48231,Hunt,1996,4523,1411,0,0,12.39178082,0.004523,0.012391781000000001,0.012391781000000001,0.0
116,48233,Hutchinson,1996,1395962,9291214,14262217,10079,3824.553425,1.3959620000000001,3.824553425,3.824553425,14.262217
117,48235,Irion,1996,2569545,15218129,4293427,29613,7039.849315,2.569545,7.039849315,7.039849315,4.293427
118,48237,Jack,1996,1061010,5114483,12380489,70480,2906.876712,1.06101,2.906876712,2.906876712,12.380489
119,48239,Jackson,1996,1550336,2108417,20491763,381082,4247.49589,1.5503360000000002,4.24749589,4.24749589,20.491763
120,48241,Jasper,1996,451277,3219276,16649110,621380,1236.375342,0.45127700000000004,1.236375342,1.236375342,16.64911
121,48243,Jeff Davis,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
122,48245,Jefferson,1996,774448,976753,34936830,1690187,2121.7753420000004,0.7744479999999999,2.121775342,2.121775342,34.93683
123,48247,Jim Hogg,1996,141580,510864,22429478,126284,387.890411,0.14157999999999998,0.387890411,0.387890411,22.429478
124,48249,Jim Wells,1996,291425,1156700,17199915,75765,798.4246575,0.291425,0.798424658,0.798424658,17.199915
125,48251,Johnson,1996,0,0,37006,0,0.0,0.0,0.0,0.0,0.037006
126,48253,Jones,1996,986034,702267,148723,747,2701.463014,0.986034,2.7014630139999998,2.7014630139999998,0.148723
127,48255,Karnes,1996,347937,822745,9447569,113527,953.2520548,0.347937,0.953252055,0.953252055,9.447569
128,48257,Kaufman,1996,111616,27401,0,0,305.7972603,0.111616,0.30579726,0.30579726,0.0
129,48259,Kendall,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
130,48261,Kenedy,1996,338412,301224,54246861,381860,927.1561644,0.338412,0.927156164,0.927156164,54.246861
