,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001,Anderson,2008,678626.0,4854822,7190166,73940,1859.2493149999998,0.6786260000000001,1.8592493150684928,0,1.8592493150684928,7253025.0,7.1901660000000005
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48003,Andrews,2008,24360768.0,27436209,1527775,7445,66741.83013999999,24.360768,66.7418301369863,0,66.7418301369863,224006425.0,1.527775
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48005,Angelina,2008,2176.0,3934,13946218,21411,5.961643836,0.002176,0.005961643835616438,-23,0.005961643835616438,55587.0,13.946218
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48007,Aransas,2008,83362.0,604576,11650062,373907,228.3890411,0.083362,0.2283890410958904,0,0.2283890410958904,768345.0,11.650062
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48009,Archer,2008,1093841.0,460852,22444,133,2996.824658,1.093841,2.9968246575342468,4,2.9968246575342468,10829053.0,0.022444
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48011,Armstrong,2008,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48013,Atascosa,2008,571358.0,209203,5975387,32533,1565.364384,0.571358,1.5653643835616438,-7,1.5653643835616438,6300382.0,5.975387
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48015,Austin,2008,295251.0,69669,7915511,82021,808.9068493,0.29525100000000004,0.8089068493150685,32,0.8089068493150685,2239634.0,7.915511
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,48017,Bailey,2008,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48019,Bandera,2008,1737.0,0,0,0,4.75890411,0.001737,0.0047589041095890405,-4,0.0047589041095890405,21128.0,0.0
