,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001,Anderson,2012,617815.0,1983598,3830452,51306,1692.643836,0.617815,1.6926438356164384,-2,1.6926438356164384,0.0,0.0,9144475.0,3.830452
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48003,Andrews,2012,33372281.0,47145272,950108,8954,91430.90685,33.372281,91.43090684931506,15,91.43090684931506,0.0,0.0,309903178.0,0.950108
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48005,Angelina,2012,759.0,10965,11279899,5617,2.079452055,0.000759,0.0020794520547945203,-60,0.0020794520547945203,0.0,0.0,58831.0,11.279899
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48007,Aransas,2012,108074.0,378710,5046435,121425,296.09315069999997,0.108074,0.2960931506849315,9,0.2960931506849315,0.0,0.0,1042535.0,5.046435
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48009,Archer,2012,1161467.0,552894,13915,100,3182.10137,1.161467,3.182101369863014,4,3.182101369863014,0.0,0.0,14134791.0,0.013915
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48011,Armstrong,2012,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48013,Atascosa,2012,7522866.0,6181036,3534824,28085,20610.591780000002,7.522866,20.61059178082192,162,20.61059178082192,0.0,0.0,17255040.0,3.534824
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48015,Austin,2012,522574.0,178207,4351065,46946,1431.709589,0.522574,1.4317095890410958,-19,1.4317095890410958,0.0,0.0,3830419.0,4.351065
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,48017,Bailey,2012,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48019,Bandera,2012,1488.0,4698,51063,8,4.076712328999999,0.0014880000000000002,0.004076712328767124,-21,0.004076712328767124,0.0,0.0,26448.0,0.051063
