FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
48001,Anderson,2012,617815,1983598,3830452,51306,1692.643836,0.617815,1.692643836,0,1.692643836,0,0,9762290,3.830452
48003,Andrews,2012,33372281,47145272,950108,8954,91430.90685,33.372281,91.43090685,0,91.43090685,0,0,343275459,0.950108
48005,Angelina,2012,759,10965,11279899,5617,2.079452055,0.000759,0.002079452,0,0.002079452,0,0,59590,11.279899
48007,Aransas,2012,108074,378710,5046435,121425,296.0931507,0.108074,0.296093151,0,0.296093151,0,0,1150609,5.046435
48009,Archer,2012,1161467,552894,13915,100,3182.10137,1.161467,3.18210137,0,3.18210137,0,0,15296258,0.013915
48011,Armstrong,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48013,Atascosa,2012,7522866,6181036,3534824,28085,20610.59178,7.522866,20.61059178,0,20.61059178,0,0,24777906,3.534824
48015,Austin,2012,522574,178207,4351065,46946,1431.709589,0.522574,1.431709589,0,1.431709589,0,0,4352993,4.351065
48017,Bailey,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48019,Bandera,2012,1488,4698,51063,8,4.076712329,0.001488,0.004076712,0,0.004076712,0,0,27936,0.051063
48021,Bastrop,2012,93529,99674,116493,3794,256.2438356,0.093529,0.256243836,0,0.256243836,0,0,2155458,0.116493
48023,Baylor,2012,108224,157,0,0,296.5041096,0.108224,0.29650411,0,0.29650411,0,0,1539122,0
48025,Bee,2012,342523,773088,22305982,192345,938.4191781,0.342523,0.938419178,0,0.938419178,0,0,4909798,22.305982
48027,Bell,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48029,Bexar,2012,119301,36,0,0,326.8520548,0.119301,0.326852055,0,0.326852055,0,0,1655763,0
48031,Blanco,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48033,Borden,2012,3584729,4060523,0,0,9821.175342,3.584729,9.821175342,0,9.821175342,0,0,52885774,0
48035,Bosque,2012,0,0,4358,0,0,0,0,0,0,0,0,0,0.004358
48037,Bowie,2012,47126,12390,100703,9937,129.1123288,0.047126,0.129112329,0,0.129112329,0,0,1213934,0.100703
48039,Brazoria,2012,2303850,2020236,14908227,445986,6311.917808,2.30385,6.311917808,0,6.311917808,0,0,24859508,14.908227
48041,Brazos,2012,2584930,5219531,2523605,26694,7082,2.58493,7.082,0,7.082,0,0,27736943,2.523605
48043,Brewster,2012,129,0,0,0,0.353424658,0.000129,0.000353425,0,0.000353425,0,0,1402,0
48045,Briscoe,2012,0,0,0,0,0,0,0,0,0,0,0,2790,0
48047,Brooks,2012,192966,358701,30382192,647214,528.6739726,0.192966,0.528673973,0,0.528673973,0,0,2903923,30.382192
48049,Brown,2012,136471,375460,838047,1823,373.8931507,0.136471,0.373893151,0,0.373893151,0,0,1550427,0.838047
48051,Burleson,2012,1662425,7180432,1528885,29132,4554.589041,1.662425,4.554589041,0,4.554589041,0,0,31605767,1.528885
48053,Burnet,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48055,Caldwell,2012,1752359,348577,11093,0,4800.983562,1.752359,4.800983562,0,4.800983562,0,0,14349498,0.011093
48057,Calhoun,2012,156775,239912,4282360,145821,429.5205479,0.156775,0.429520548,0,0.429520548,0,0,3935212,4.28236
48059,Callahan,2012,206034,388115,611387,4238,564.4767123,0.206034,0.564476712,0,0.564476712,0,0,2829400,0.611387
48061,Cameron,2012,67,0,993125,1705,0.183561644,6.70E-05,0.000183562,0,0.000183562,0,0,7479,0.993125
48063,Camp,2012,177163,0,337690,16,485.3780822,0.177163,0.485378082,0,0.485378082,0,0,3612806,0.33769
48065,Carson,2012,216303,1365942,12024261,6969,592.6109589,0.216303,0.592610959,0,0.592610959,0,0,3985830,12.024261
48067,Cass,2012,266952,354358,556439,14074,731.3753425,0.266952,0.731375342,0,0.731375342,0,0,4107778,0.556439
48069,Castro,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48071,Chambers,2012,1747322,1016670,4066795,173144,4787.183562,1.747322,4.787183562,0,4.787183562,0,0,14385594,4.066795
48073,Cherokee,2012,211416,446704,19946998,123431,579.2219178,0.211416,0.579221918,0,0.579221918,0,0,2598474,19.946998
48075,Childress,2012,15649,0,0,0,42.8739726,0.015649,0.042873973,0,0.042873973,0,0,366439,0
48077,Clay,2012,550386,534954,138667,4069,1507.906849,0.550386,1.507906849,0,1.507906849,0,0,9006811,0.138667
48079,Cochran,2012,3616288,2045129,202857,955,9907.638356,3.616288,9.907638356,0,9.907638356,0,0,51153314,0.202857
48081,Coke,2012,783941,3820871,250905,1661,2147.783562,0.783941,2.147783562,0,2.147783562,0,0,7882348,0.250905
48083,Coleman,2012,298471,579230,731006,3022,817.7287671,0.298471,0.817728767,0,0.817728767,0,0,3812255,0.731006
48085,Collin,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48087,Collingsworth,2012,8234,86106,1169963,0,22.55890411,0.008234,0.022558904,0,0.022558904,0,0,44192,1.169963
48089,Colorado,2012,146374,332948,16025017,365322,401.0246575,0.146374,0.401024658,0,0.401024658,0,0,2730186,16.025017
48091,Comal,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48093,Comanche,2012,31757,137286,539515,2378,87.00547945,0.031757,0.087005479,0,0.087005479,0,0,178129,0.539515
48095,Concho,2012,320978,189658,381857,2099,879.3917808,0.320978,0.879391781,0,0.879391781,0,0,7015071,0.381857
48097,Cooke,2012,1741643,1633936,25949423,2184918,4771.624658,1.741643,4.771624658,0,4.771624658,0,0,22494506,25.949423
48099,Coryell,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48101,Cottle,2012,100051,33371,3829431,48916,274.1123288,0.100051,0.274112329,0,0.274112329,0,0,827961,3.829431
48103,Crane,2012,9426971,45186431,8356019,79122,25827.31781,9.426971,25.82731781,0,25.82731781,0,0,127838534,8.356019
48105,Crockett,2012,6149309,11693963,69581822,272976,16847.42192,6.149309,16.84742192,0,16.84742192,0,0,59494744,69.581822
48107,Crosby,2012,837709,127858,0,0,2295.093151,0.837709,2.295093151,0,2.295093151,0,0,8595252,0
48109,Culberson,2012,709337,693209,11902138,836886,1943.389041,0.709337,1.943389041,0,1.943389041,0,0,2841907,11.902138
48111,Dallam,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48113,Dallas,2012,0,0,7205969,0,0,0,0,0,0,0,0,0,7.205969
48115,Dawson,2012,3854751,2067401,0,0,10560.96164,3.854751,10.56096164,0,10.56096164,0,0,60709752,0
48117,Deaf Smith,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48119,Delta,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48121,Denton,2012,30705,747681,251208595,360081,84.12328767,0.030705,0.084123288,0,0.084123288,0,0,450198,251.208595
48123,DeWitt,2012,16520868,34312217,145681403,17046387,45262.65205,16.520868,45.26265205,0,45.26265205,0,0,38919727,145.681403
48125,Dickens,2012,782786,4346,0,0,2144.619178,0.782786,2.144619178,0,2.144619178,0,0,15330362,0
48127,Dimmit,2012,11835820,19725244,92125610,13392786,32426.90411,11.83582,32.42690411,0,32.42690411,0,0,36441313,92.12561
48129,Donley,2012,0,0,12232,224,0,0,0,0,0,0,0,0,0.012232
48131,Duval,2012,878988,278322,20986200,94922,2408.186301,0.878988,2.408186301,0,2.408186301,0,0,13790907,20.9862
48133,Eastland,2012,240561,705586,2922292,40728,659.0712329,0.240561,0.659071233,0,0.659071233,0,0,3559560,2.922292
48135,Ector,2012,25970291,50741477,5499002,20461,71151.48219,25.970291,71.15148219,0,71.15148219,0,0,275224568,5.499002
48137,Edwards,2012,7644,0,9763992,557,20.94246575,0.007644,0.020942466,0,0.020942466,0,0,67443,9.763992
48139,Ellis,2012,536,0,8704686,0,1.468493151,0.000536,0.001468493,0,0.001468493,0,0,8357,8.704686
48141,El Paso ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48143,Erath,2012,1974,22374,6034949,12085,5.408219178,0.001974,0.005408219,0,0.005408219,1,1,35224,6.034949
48145,Falls,2012,6339,0,0,0,17.36712329,0.006339,0.017367123,0,0.017367123,0,0,53140,0
48147,Fannin,2012,50,0,0,0,0.136986301,5.00E-05,0.000136986,0,0.000136986,0,0,100,0
48149,Fayette,2012,1845188,7215715,8969730,177761,5055.309589,1.845188,5.055309589,0,5.055309589,0,0,21765320,8.96973
48151,Fisher,2012,825222,1723317,89403,1578,2260.882192,0.825222,2.260882192,0,2.260882192,0,0,10030498,0.089403
48153,Floyd,2012,1576,0,0,0,4.317808219,0.001576,0.004317808,0,0.004317808,0,0,20660,0
48155,Foard,2012,120735,6624,153070,0,330.7808219,0.120735,0.330780822,0,0.330780822,0,0,1627647,0.15307
48157,Fort Bend,2012,1622586,1976725,10768625,164989,4445.441096,1.622586,4.445441096,0,4.445441096,0,0,22603581,10.768625
48159,Franklin,2012,476599,166113,2012740,38668,1305.750685,0.476599,1.305750685,0,1.305750685,0,0,4960309,2.01274
48161,Freestone,2012,65046,137839,206585176,92679,178.2082192,0.065046,0.178208219,0,0.178208219,0,0,899993,206.585176
48163,Frio,2012,3623313,6087498,1358379,34823,9926.884932,3.623313,9.926884932,0,9.926884932,0,0,15599688,1.358379
48165,Gaines,2012,24897082,21220079,7756384,21033,68211.18356,24.897082,68.21118356,0,68.21118356,0,0,367118240,7.756384
48167,Galveston,2012,458316,601888,5098985,168747,1255.660274,0.458316,1.255660274,0,1.255660274,0,0,8375071,5.098985
48169,Garza,2012,3004754,492386,0,0,8232.20274,3.004754,8.23220274,0,8.23220274,0,0,53038849,0
48171,Gillespie,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48173,Glasscock,2012,15528780,51466641,1031750,19795,42544.60274,15.52878,42.54460274,0,42.54460274,0,0,81923995,1.03175
48175,Goliad,2012,267792,382478,15329811,151466,733.6767123,0.267792,0.733676712,0,0.733676712,0,0,3993475,15.329811
48177,Gonzales,2012,24030282,27143308,653162,6769,65836.38904,24.030282,65.83638904,0,65.83638904,0,0,59850536,0.653162
48179,Gray,2012,1063893,2480417,7353251,907,2914.775342,1.063893,2.914775342,0,2.914775342,0,0,17278421,7.353251
48181,Grayson,2012,1725541,4252396,2490428,29520,4727.509589,1.725541,4.727509589,0,4.727509589,0,0,17889100,2.490428
48183,Gregg,2012,2229322,2551584,36563292,221538,6107.731507,2.229322,6.107731507,0,6.107731507,0,0,38977227,36.563292
48185,Grimes,2012,799995,1512794,13784274,240412,2191.767123,0.799995,2.191767123,0,2.191767123,0,0,3480002,13.784274
48187,Guadalupe,2012,991911,51255,0,0,2717.564384,0.991911,2.717564384,0,2.717564384,0,0,14212164,0
48189,Hale,2012,1937467,1676529,0,0,5308.128767,1.937467,5.308128767,0,5.308128767,0,0,36052643,0
48191,Hall,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48193,Hamilton,2012,819,0,143209,745,2.243835616,0.000819,0.002243836,0,0.002243836,0,0,9783,0.143209
48195,Hansford,2012,256657,1216556,14682819,21860,703.169863,0.256657,0.703169863,0,0.703169863,0,0,2544465,14.682819
48197,Hardeman,2012,934785,369417,0,0,2561.054795,0.934785,2.561054795,0,2.561054795,0,0,20291745,0
48199,Hardin,2012,1260571,1621853,11128623,699749,3453.619178,1.260571,3.453619178,0,3.453619178,0,0,16152404,11.128623
48201,Harris,2012,1226268,1051133,17538911,271195,3359.638356,1.226268,3.359638356,0,3.359638356,0,0,20083478,17.538911
48203,Harrison,2012,327413,1613516,155143664,738689,897.0219178,0.327413,0.897021918,0,0.897021918,0,0,5439115,155.143664
48205,Hartley,2012,324161,32385,1661013,0,888.1123288,0.324161,0.888112329,0,0.888112329,0,0,3602511,1.661013
