,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001,Anderson,2015,629772.0,1644258,2835264,35160,1725.4027399999998,0.629772,1.72540274,-5,1.72540274,0.0,0.0,11698552.0,2.835264
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48003,Andrews,2015,38018986.0,61669698,1033976,71815,104161.6055,38.018986,104.16160550000001,0,104.16160550000001,0.0,0.0,453552887.0,1.033976
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48005,Angelina,2015,124.0,0,4919806,4304,0.33972602700000004,0.000124,0.000339726,0,0.000339726,0.0,0.0,59714.0,4.919806
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48007,Aransas,2015,67078.0,437609,12724959,291159,183.7753425,0.067078,0.18377534199999998,-3,0.18377534199999998,0.0,0.0,1372582.0,12.724959
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48009,Archer,2015,1158706.0,517647,18844,363,3174.536986,1.158706,3.174536986,-11,3.174536986,0.0,0.0,19031669.0,0.018844
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48011,Armstrong,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48013,Atascosa,2015,28072378.0,25386767,2044105,17283,76910.62466,28.072378000000004,76.91062466,15,76.91062466,0.0,0.0,90732425.0,2.044105
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48015,Austin,2015,466309.0,393040,2808515,22866,1277.558904,0.46630900000000003,1.2775589040000002,-16,1.2775589040000002,0.0,0.0,5902768.0,2.8085150000000003
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,48017,Bailey,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48019,Bandera,2015,1645.0,0,20718,0,4.506849315,0.001645,0.004506849,-6,0.004506849,0.0,0.0,32207.0,0.020718
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48021,Bastrop,2015,140652.0,137145,75853,6313,385.3479452,0.140652,0.385347945,-9,0.385347945,0.0,0.0,2585027.0,0.075853
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,48023,Baylor,2015,127349.0,13176,0,0,348.90136989999996,0.127349,0.34890137,-19,0.34890137,0.0,0.0,1952877.0,0.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48025,Bee,2015,312936.0,574300,15085493,205990,857.3589041000001,0.312936,0.857358904,-6,0.857358904,0.0,0.0,5884423.0,15.085493
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,48027,Bell,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,48029,Bexar,2015,106005.0,26,0,0,290.4246575,0.106005,0.290424658,-10,0.290424658,0.0,0.0,2006107.0,0.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48031,Blanco,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48033,Borden,2015,3039497.0,2297350,0,0,8327.389041,3.0394970000000003,8.327389041,-16,8.327389041,0.0,0.0,63330622.0,0.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,48035,Bosque,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,48037,Bowie,2015,39369.0,13795,122544,9081,107.860274,0.039369,0.107860274,-12,0.107860274,0.0,0.0,1345235.0,0.122544
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,48039,Brazoria,2015,3376824.0,3301619,7949230,225934,9251.572603,3.3768239999999996,9.251572603,2,9.251572603,0.0,0.0,34619846.0,7.94923
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,48041,Brazos,2015,8600216.0,12649205,5262051,572834,23562.23562,8.600216,23.56223562,12,23.56223562,0.0,0.0,48865160.0,5.2620510000000005
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,48043,Brewster,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1491.0,0.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,48045,Briscoe,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2809.0,0.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,48047,Brooks,2015,277202.0,261156,23778740,543169,759.4575342,0.277202,0.759457534,0,0.759457534,0.0,0.0,3607277.0,23.77874
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48049,Brown,2015,119645.0,337844,671975,2178,327.7945205000001,0.119645,0.327794521,-13,0.327794521,0.0,0.0,1933790.0,0.671975
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,48051,Burleson,2015,7056883.0,12948589,1523420,49015,19333.926030000002,7.056883,19.33392603,63,19.33392603,0.0,0.0,44726045.0,1.52342
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,48053,Burnet,2015,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,48055,Caldwell,2015,1455596.0,298842,10453,0,3987.9342469999997,1.455596,3.987934247,-10,3.987934247,0.0,0.0,19188859.0,0.010453
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,48057,Calhoun,2015,120995.0,307004,4515811,141996,331.4931507,0.120995,0.33149315100000004,-2,0.33149315100000004,0.0,0.0,4345911.0,4.515811
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,48059,Callahan,2015,126332.0,292719,415790,2110,346.1150685,0.126332,0.34611506799999997,-21,0.34611506799999997,0.0,0.0,3294605.0,0.41579
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,48061,Cameron,2015,0.0,0,204271,923,0.0,0.0,0.0,0,0.0,0.0,0.0,7479.0,0.204271
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,48063,Camp,2015,146763.0,0,620457,0,402.09041099999996,0.146763,0.40209041100000004,-18,0.40209041100000004,0.0,0.0,4132849.0,0.6204569999999999
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,48065,Carson,2015,162294.0,1020622,10369983,6768,444.6410959,0.162294,0.444641096,-19,0.444641096,0.0,0.0,4548055.0,10.369983
