,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001,Anderson,2018,619334.0,724973,2386679,34431,1696.805479,0.619334,1.6968054794520548,11,1.6968054794520548,0.0,0.0,13449609.0,2.386679
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48003,Andrews,2018,42411085.0,67867260,4309747,387833,116194.7534,42.411085,116.19475342465752,13,116.19475342465752,0.0,0.0,570432388.0,4.309747
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48005,Angelina,2018,0.0,0,49502106,4881,0.0,0.0,0.0,0,0.0,0.0,0.0,59714.0,49.502106
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48007,Aransas,2018,32275.0,198661,4774254,135581,88.42465753,0.032275,0.08842465753424658,-25,0.08842465753424658,0.0,0.0,1492535.0,4.774254
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48009,Archer,2018,897058.0,291996,15700,121,2457.693151,0.897058,2.4576931506849315,-3,2.4576931506849315,0.0,0.0,21865055.0,0.0157
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48011,Armstrong,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48013,Atascosa,2018,21688149.0,23385503,2184724,22682,59419.5863,21.688149,59.41958630136986,4,59.41958630136986,0.0,0.0,154140445.0,2.184724
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48015,Austin,2018,397606.0,360262,2249969,17330,1089.331507,0.397606,1.0893315068493148,8,1.0893315068493148,0.0,0.0,7072628.0,2.249969
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,48017,Bailey,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48019,Bandera,2018,1532.0,0,6198,0,4.197260274,0.001532,0.004197260273972603,-13,0.004197260273972603,0.0,0.0,37173.0,0.006198
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48021,Bastrop,2018,106879.0,72753,35980,3575,292.8191781000001,0.106879,0.29281917808219177,50,0.29281917808219177,0.0,0.0,2853985.0,0.03598
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,48023,Baylor,2018,85917.0,8732,0,0,235.3890411,0.085917,0.2353890410958904,-14,0.2353890410958904,0.0,0.0,2251923.0,0.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48025,Bee,2018,240992.0,320521,10823298,85270,660.2520548,0.240992,0.6602520547945205,-5,0.6602520547945205,0.0,0.0,6644911.0,10.823298
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,48027,Bell,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,48029,Bexar,2018,78652.0,12,0,0,215.4849315,0.078652,0.2154849315068493,-5,0.2154849315068493,0.0,0.0,2260915.0,0.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48031,Blanco,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48033,Borden,2018,4814348.0,3926640,0,0,13189.99452,4.814348000000002,13.189994520547945,54,13.189994520547945,0.0,0.0,74236934.0,0.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,48035,Bosque,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,48037,Bowie,2018,25276.0,3253,18786,4363,69.24931507,0.025276,0.06924931506849315,-6,0.06924931506849315,0.0,0.0,1427990.0,0.018786
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,48039,Brazoria,2018,3300091.0,878390,14177961,690309,9041.345205,3.300091000000001,9.041345205479452,15,9.041345205479452,0.0,0.0,43657868.0,14.177960999999998
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,48041,Brazos,2018,5726079.0,7774645,2111448,108542,15687.887669999998,5.726079,15.687887671232874,22,15.687887671232874,0.0,0.0,65285218.0,2.111448
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,48043,Brewster,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1491.0,0.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,48045,Briscoe,2018,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2809.0,0.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,48047,Brooks,2018,196578.0,209695,16854676,416917,538.5698629999998,0.196578,0.5385698630136986,-27,0.5385698630136986,0.0,0.0,4360958.0,16.854676
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48049,Brown,2018,86862.0,231451,559178,1897,237.9780822,0.086862,0.2379780821917808,-16,0.2379780821917808,0.0,0.0,2228187.0,0.559178
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,48051,Burleson,2018,13947915.0,13145105,2156480,82622,38213.46575,13.947915,38.21346575342466,55,38.21346575342466,0.0,0.0,74367675.0,2.15648
