FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48001,Anderson,1993.00,1377971.00,3555759.00,6499253.00,63219.00
48003,Andrews,1993.00,33584007.00,38482646.00,1785453.00,3330.00
48005,Angelina,1993.00,1716.00,77.00,851801.00,3080.00
48007,Aransas,1993.00,389548.00,1138798.00,8162808.00,186904.00
48009,Archer,1993.00,2598238.00,779871.00,0.00,0.00
48011,Armstrong,9999.00,9999.00,9999.00,9999.00,9999.00
48013,Atascosa,1993.00,858111.00,1023599.00,21811166.00,72357.00
48015,Austin,1993.00,580919.00,267598.00,3370203.00,58897.00
48017,Bailey,9999.00,9999.00,9999.00,9999.00,9999.00
48019,Bandera,9999.00,9999.00,9999.00,9999.00,9999.00
48021,Bastrop,1993.00,331433.00,754886.00,1251378.00,11422.00
48023,Baylor,1993.00,247127.00,1353.00,0.00,0.00
48025,Bee,1993.00,530991.00,605660.00,14497101.00,106124.00
48027,Bell,9999.00,9999.00,9999.00,9999.00,9999.00
48029,Bexar,1993.00,363150.00,12053.00,67078.00,0.00
48031,Blanco,1993.00,0.00,0.00,0.00,0.00
48033,Borden,1993.00,4707082.00,4047505.00,0.00,0.00
48035,Bosque,9999.00,9999.00,9999.00,9999.00,9999.00
48037,Bowie,1993.00,297395.00,298488.00,152953.00,12319.00
48039,Brazoria,1993.00,2899398.00,3608366.00,45689503.00,867353.00
48041,Brazos,1993.00,8553696.00,25633589.00,24619147.00,1964597.00
48043,Brewster,1993.00,0.00,0.00,0.00,0.00
48045,Briscoe,9999.00,9999.00,9999.00,9999.00,9999.00
48047,Brooks,1993.00,310147.00,738751.00,38249578.00,559391.00
48049,Brown,1993.00,279484.00,723121.00,1802706.00,2510.00
48051,Burleson,1993.00,7886070.00,39694857.00,19646730.00,843074.00
48053,Burnet,9999.00,9999.00,9999.00,9999.00,9999.00
48055,Caldwell,1993.00,1461901.00,1102898.00,36318.00,424.00
48057,Calhoun,1993.00,680933.00,1062583.00,14597826.00,254166.00
48059,Callahan,1993.00,745913.00,982255.00,1849293.00,7561.00
48061,Cameron,1993.00,2274.00,1777.00,2526757.00,1295.00
48063,Camp,1993.00,464122.00,27643.00,2427496.00,67.00
